session_id,account_id,station_id,connector_type,zone,started_at,initiated_via,status,start_soc_pct,ambient_temp_c,grid_load_index,energy_kwh,duration_mins,amount_inr,rating,error_code
VG-SES-000030,VG-ACC-01353,VG-ST-005,CCS2,Uppal,2025-06-25 11:30,APP,Completed,40.4,41.1,0.59,0.4,31.0,10,4.0,
VG-SES-000031,VG-ACC-02404,VG-ST-010,Bharat DC-001,Uppal,2025-11-19 13:45,App,Completed,25.1,27.4,0.5,0.96,98.0,12,5.0,
VG-SES-000032,VG-ACC-02366,VG-ST-003,CCS2,Kukatpally,2025-10-28 21:00,App,Completed,28.5,24.9,0.742,0.57,41.0,15,4.0,
VG-SES-000033,VG-ACC-00876,VG-ST-014,Type2 AC,Secunderabad,2025-07-23 20:30,RFID,Failed,15.4,36.6,0.804,,,,,E-COMM-TIMEOUT
VG-SES-000034,VG-ACC-00064,VG-ST-005,CCS2,Uppal,2025-02-04 13:30,walk-up,Completed,20.9,23.9,0.524,0.86,56.0,22,4.0,
VG-SES-000035,VG-ACC-00006,VG-ST-010,Bharat DC-001,Uppal,2025-10-24 10:00,Walk-Up,Completed,37.0,26.3,0.573,20.18,163.0,Rs.242,1.0,
VG-SES-000036,VG-ACC-00012,VG-ST-009,Type2 AC,Secunderabad,2025-04-25 15:30,RFID,Completed,31.5,34.0,0.541,27.4,95.0,329,3.0,
VG-SES-000037,VG-ACC-01954,VG-ST-005,CCS2,Uppal,2025-03-25 18:15,App,Completed,55.0,29.6,0.827,51.63,48.0,Rs.1342,4.0,
VG-SES-000038,VG-ACC-01850,VG-ST-015,Bharat AC-001,Uppal,2025-07-10 00:15,RFID,Completed,20.1,33.9,0.442,1.68,189.0,20,5.0,
VG-SES-000039,VG-ACC-02069,VG-ST-014,Type2 AC,Secunderabad,2025-04-28 22:00,APP,Interrupted,16.4,27.8,0.697,0.67,493.0,8,,
VG-SES-000040,VG-ACC-00349,VG-ST-002,CHAdeMO,Gachibowli,2025-09-02 20:15,APP,Interrupted,16.7,35.9,0.797,3.55,32.0,92,,
VG-SES-000041,VG-ACC-00147,VG-ST-009,Type2 AC,Secunderabad,2025-03-29 16:00,walk-up,Interrupted,49.1,31.8,0.613,0.89,122.0,11,,
VG-SES-000042,VG-ACC-00427,VG-ST-005,CCS2,Uppal,2025-10-30 13:30,walk-up,Completed,76.5,30.9,0.584,0.38,33.0,10,2.0,
VG-SES-000043,VG-ACC-01564,VG-ST-001,CCS2,Madhapur,2025-02-02 13:00,RFID,Completed,55.0,23.6,0.5,0.45,39.0,12,5.0,
VG-SES-000044,VG-ACC-00023,VG-ST-011,Type2 AC,Madhapur,,RFID,Completed,21.0,39.1,0.535,5.23,194.0,115,4.0,
VG-SES-000045,VG-ACC-01653,VG-ST-003,CCS2,Kukatpally,2025-11-13 18:30,app,Failed,52.0,26.8,0.767,,,,,E-THERMAL
VG-SES-000046,VG-ACC-02223,VG-ST-008,CCS2,Kukatpally,2025-10-05 09:30,Walk-Up,Completed,42.9,27.9,0.555,0.72,102.0,16,3.0,
VG-SES-000047,VG-ACC-00365,VG-ST-006,CHAdeMO,Madhapur,2025-09-28 22:00,rfid,Interrupted,38.9,25.8,0.724,,51.0,,,
VG-SES-000048,VG-ACC-01848,VG-ST-008,CCS2,Kukatpally,2025-07-23 13:00,RFID,Interrupted,14.6,42.7,0.591,3.96,88.0,87,,
VG-SES-000049,VG-ACC-01382,VG-ST-008,CCS2,Kukatpally,2025-07-07 15:15,App,Completed,51.1,39.5,0.51,1.09,216.0,24,5.0,
VG-SES-000050,VG-ACC-02361,VG-ST-016,Type2 AC,Madhapur,2025-03-09 19:15,App,Interrupted,23.9,25.4,0.797,0.56,731.0,7,,
VG-SES-000051,VG-ACC-00608,VG-ST-006,CHAdeMO,Madhapur,2025-04-09 18:15,App,Interrupted,55.1,30.4,0.776,0.09,36.0,2,,
VG-SES-000052,VG-ACC-00568,VG-ST-003,CCS2,Kukatpally,2025-07-11 12:00,App,Completed,28.0,40.1,0.555,5.42,18.0,Rs.141,5.0,
VG-SES-000053,VG-ACC-00042,VG-ST-008,CCS2,Kukatpally,2025-04-12 16:30,Walk-Up,Completed,36.7,34.1,0.549,1.0,115.0,Rs.22,4.0,
VG-SES-000054,VG-ACC-01763,VG-ST-002,CHAdeMO,Gachibowli,2025-04-14 07:00,app,Completed,36.1,24.0,0.631,0.24,30.0,6,5.0,
VG-SES-000055,VG-ACC-02168,VG-ST-017,Bharat AC-001,Gachibowli,2025-08-13 19:45,Walk-Up,Completed,39.1,36.3,0.829,1.79,604.0,21,3.0,
VG-SES-000056,VG-ACC-00047,VG-ST-007,Type2 AC,Gachibowli,2025-08-21 09:00,app,Completed,20.6,33.3,0.675,39.76,192.0,477,4.0,
VG-SES-000057,VG-ACC-01230,VG-ST-007,Type2 AC,Gachibowli,2025-06-13 08:00,RFID,Completed,45.5,36.5,0.598,0.92,180.0,11,3.0,
VG-SES-000058,VG-ACC-01811,VG-ST-004,GB/T,Secunderabad,2025-04-04 19:45,App,Completed,51.4,31.0,0.812,19.44,40.0,505,3.0,
VG-SES-000059,VG-ACC-01955,VG-ST-001,CCS2,Madhapur,2025-02-28 08:15,rfid,Failed,26.2,21.2,0.665,,,,,E-OVERCURRENT
VG-SES-000060,VG-ACC-02326,VG-ST-017,Bharat AC-001,Gachibowli,2025-03-28 21:30,APP,Completed,75.0,30.1,0.78,0.68,528.0,8,5.0,
VG-SES-000061,VG-ACC-01808,VG-ST-010,Bharat DC-001,Uppal,2025-04-19 14:00,Walk-Up,Completed,39.2,35.7,0.485,1.07,70.0,13,,
VG-SES-000062,VG-ACC-02302,VG-ST-011,Type2 AC,Madhapur,2025-11-08 13:15,rfid,Completed,45.1,25.2,0.467,20.77,231.0,457,5.0,
VG-SES-000063,VG-ACC-02485,VG-ST-018,Type2 AC,Kukatpally,2025-04-17 23:15, App,Completed,22.0,22.9,0.64,,607.0,,5.0,
VG-SES-000064,VG-ACC-02319,VG-ST-004,GB/T,Secunderabad,2025-10-27 20:15,App,Completed,28.9,27.5,0.892,5.59,38.0,145,2.0,
VG-SES-000065,VG-ACC-01095,VG-ST-009,Type2 AC,Secunderabad,2025-06-27 13:00,walk-up,Completed,55.2,42.5,0.525,17.66,104.0,212,2.0,
VG-SES-000066,VG-ACC-01018,VG-ST-010,Bharat DC-001,Uppal,2025-05-30 11:00,RFID,Completed,19.2,33.8,0.612,,61.0,,3.0,
VG-SES-000067,VG-ACC-01069,VG-ST-009,Type2 AC,Secunderabad,2025-03-30 08:00,Walk-Up,Completed,14.8,28.6,0.561,28.55,188.0,343,3.0,
VG-SES-000068,VG-ACC-02377,VG-ST-005,CCS2,Uppal,2025-09-10 22:15,App,Completed,38.1,29.9,0.627,0.71,16.0,18,4.0,
VG-SES-000069,VG-ACC-00705,VG-ST-013,Bharat AC-001,Kukatpally,2025-10-06 05:45,rfid,Completed,44.7,24.8,0.501,0.99,254.0,12,2.0,
VG-SES-000070,VG-ACC-01881,VG-ST-001,CCS2,Madhapur,2025-11-21 19:45,RFID,Failed,20.4,25.7,0.836,,,,,E-COMM-TIMEOUT
VG-SES-000071,VG-ACC-01563,VG-ST-002,CHAdeMO,Gachibowli,2025-09-28 22:15,RFID ,Completed,66.0,24.2,0.647,7.65,26.0,199,5.0,
VG-SES-000072,VG-ACC-00155,VG-ST-016,Type2 AC,Madhapur,2025-01-30 06:15,RFID,Completed,69.6,19.3,0.59,0.83,520.0,10,5.0,
VG-SES-000073,VG-ACC-01216,VG-ST-016,Type2 AC,Madhapur,2025-10-18 20:30,Walk-Up,Completed,16.1,24.7,0.729,32.49,467.0,390,2.0,
VG-SES-000074,VG-ACC-00487,VG-ST-006,CHAdeMO,Madhapur,2025-07-20 20:15,Walk-Up,Interrupted,28.9,33.4,0.829,0.35,68.0,9,,
VG-SES-000075,VG-ACC-01822,VG-ST-018,Type2 AC,Kukatpally,2025-06-19 20:45,walk-up,Completed,67.7,36.6,0.821,18.87,583.0,226,2.0,
VG-SES-000076,VG-ACC-01119,VG-ST-009,Type2 AC,Secunderabad,2025-03-25 11:00,rfid,Completed,44.7,24.9,0.601,5.41,102.0,65,4.0,
VG-SES-000077,VG-ACC-00892,VG-ST-016,Type2 AC,Madhapur,2025-06-17 20:15, App,Completed,21.3,37.2,0.826,0.83,226.0,10,1.0,
VG-SES-000078,VG-ACC-00165,VG-ST-015,Bharat AC-001,Uppal,2025-09-22 19:00,RFID,Completed,61.4,30.8,0.86,1.43,308.0,17,4.0,
VG-SES-000079,VG-ACC-00328,VG-ST-009,Type2 AC,Secunderabad,2025-07-14 11:45,App,Completed,34.4,36.6,0.575,24.97,292.0,300,1.0,
VG-SES-000080,VG-ACC-01911,VG-ST-018,Type2 AC,Kukatpally,2025-02-03 00:00,App,Completed,56.0,18.5,0.486,,609.0,,,
VG-SES-000081,VG-ACC-02157,VG-ST-011,Type2 AC,Madhapur,2025-09-07 11:15,App,Completed,65.8,36.3,0.543,0.88,138.0,19,3.0,
VG-SES-000082,VG-ACC-00728,VG-ST-015,Bharat AC-001,Uppal,2025-09-18 21:15,RFID,Completed,35.0,31.1,0.727,4.58,154.0,55,4.0,
VG-SES-000083,VG-ACC-02071,VG-ST-005,CCS2,Uppal,2025-08-10 13:45,app,Completed,43.8,36.1,0.516,13.02,31.0,339,5.0,
VG-SES-000084,VG-ACC-01381,VG-ST-014,Type2 AC,Secunderabad,2025-03-08 21:15, App,Completed,29.0,22.3,0.683,3.99,435.0,Rs.48,2.0,
VG-SES-000085,VG-ACC-00878,VG-ST-012,CCS2,Gachibowli,2025-04-08 09:30,Walk-Up,Completed,25.2,27.1,0.602,42.28,189.0,930,3.0,
VG-SES-000086,VG-ACC-01129,VG-ST-004,GB/T,Secunderabad,2025-05-31 19:00,rfid,Failed,24.4,35.5,0.841,,,,,E-THERMAL
VG-SES-000087,VG-ACC-01726,VG-ST-018,Type2 AC,Kukatpally,2025-10-14 01:15,App,Completed,49.3,23.0,0.413,99.17,436.0,1190,1.0,
VG-SES-000088,VG-ACC-02273,VG-ST-008,CCS2,Kukatpally,2025-09-26 10:45,app,Completed,31.2,26.9,0.594,161.31,223.0,3549,5.0,
VG-SES-000089,VG-ACC-01232,VG-ST-007,Type2 AC,Gachibowli,2025-02-01 16:00,RFID,Completed,70.7,26.2,0.544,7.09,69.0,85,4.0,
VG-SES-000090,VG-ACC-00867,VG-ST-018,Type2 AC,Kukatpally,2025-01-23 22:30,App,Completed,60.0,18.1,0.738,0.96,272.0,12,,
VG-SES-000091,VG-ACC-01903,VG-ST-016,Type2 AC,Madhapur,2025-01-17 21:30,Walk-Up,Interrupted,63.4,18.8,0.854,1.29,636.0,15,,
VG-SES-000092,VG-ACC-01313,VG-ST-007,Type2 AC,Gachibowli,2025-11-03 13:15,rfid,Completed,57.5,30.0,0.429,18.1,241.0,Rs.217,3.0,
VG-SES-000093,VG-ACC-00976,VG-ST-016,Type2 AC,Madhapur,2025-10-13 02:00,RFID,Completed,40.0,23.6,0.537,2.03,264.0,24,1.0,
VG-SES-000094,VG-ACC-01150,VG-ST-018,Type2 AC,Kukatpally,2025-03-13 23:15,Walk-Up,Interrupted,65.1,18.6,0.602,0.97,355.0,12,,
VG-SES-000095,VG-ACC-01340,VG-ST-002,CHAdeMO,Gachibowli,2025-10-30 07:30,APP,Completed,48.7,22.9,0.601,1.31,31.0,34,4.0,
VG-SES-000096,VG-ACC-00351,VG-ST-001,CCS2,Madhapur,2025-06-15 21:45,app,Completed,38.8,35.8,0.687,0.63,34.0,16,3.0,
VG-SES-000097,VG-ACC-00145,VG-ST-018,Type2 AC,Kukatpally,2025-04-14 23:30,App,Completed,24.2,26.1,0.573,1.76,367.0,21,4.0,
VG-SES-000098,VG-ACC-01662,VG-ST-007,Type2 AC,Gachibowli,2025-08-31 15:15,rfid,Completed,31.7,39.9,0.486,6.08,222.0,73,2.0,
VG-SES-000099,VG-ACC-00438,VG-ST-004,GB/T,Secunderabad,2025-01-23 08:15,rfid,Completed,34.0,18.0,0.596,0.28,26.0,7,3.0,
VG-SES-000100,VG-ACC-01330,VG-ST-005,CCS2,Uppal,2025-02-10 18:45,RFID ,Interrupted,38.3,25.1,0.832,,25.0,,,
VG-SES-000101,VG-ACC-01955,VG-ST-015,Bharat AC-001,Uppal,2025-03-26 19:45,APP,Completed,73.3,25.7,0.867,115.96,379.0,1392,5.0,
VG-SES-000102,VG-ACC-00538,VG-ST-008,CCS2,Kukatpally,2025-07-20 08:15,walk-up,Interrupted,67.7,34.2,0.533,0.23,233.0,5,,
VG-SES-000103,VG-ACC-00954,VG-ST-017,Bharat AC-001,Gachibowli,2025-10-04 19:15,walk-up,Completed,62.6,36.5,0.796,1.05,391.0,13,3.0,
VG-SES-000104,VG-ACC-02446,VG-ST-008,CCS2,Kukatpally,2025-06-20 16:30,Walk-Up,Completed,37.9,42.9,0.558,3.38,233.0,74,3.0,
VG-SES-000105,VG-ACC-00088,VG-ST-011,Type2 AC,Madhapur,2025-05-26 08:15,App,Completed,15.8,35.8,0.671,12.75,167.0,280,4.0,
VG-SES-000106,VG-ACC-01890,VG-ST-003,CCS2,Kukatpally,2025-07-13 08:30,RFID,Interrupted,51.8,35.8,0.569,0.06,18.0,2,,
VG-SES-000107,VG-ACC-00420,VG-ST-009,Type2 AC,Secunderabad,,Walk-Up,Completed,49.5,24.6,0.558,3.16,132.0,38,5.0,
VG-SES-000108,VG-ACC-02265,VG-ST-018,Type2 AC,Kukatpally,2025-08-07 02:15,RFID,Completed,50.8,31.4,0.483,2.14,342.0,26,1.0,
VG-SES-000109,VG-ACC-01029,VG-ST-009,Type2 AC,Secunderabad,2025-09-23 17:15,RFID,Completed,38.7,36.6,0.744,1.56,174.0,19,5.0,
VG-SES-000110,VG-ACC-00017,VG-ST-012,CCS2,Gachibowli,2025-05-19 09:45,Walk-Up,Completed,63.5,33.5,0.622,2.7,139.0,59,3.0,
VG-SES-000111,VG-ACC-01795,VG-ST-016,Type2 AC,Madhapur,2025-08-02 05:00,RFID ,Completed,11.9,35.4,0.476,7.68,278.0,Rs.92,4.0,
VG-SES-000112,VG-ACC-00369,VG-ST-009,Type2 AC,Secunderabad,2025-04-09 10:15,app,Completed,8.4,30.1,0.565,15.49,118.0,186,,
VG-SES-000113,VG-ACC-00909,VG-ST-015,Bharat AC-001,Uppal,2025-11-06 06:45,app,Completed,46.1,19.2,0.521,0.96,230.0,12,3.0,
VG-SES-000114,VG-ACC-01256,VG-ST-003,CCS2,Kukatpally,2025-03-02 06:45,App,Completed,28.5,17.5,0.529,0.87,19.0,23,1.0,
VG-SES-000115,VG-ACC-01863,VG-ST-014,Type2 AC,Secunderabad,2025-02-15 21:00,RFID,Completed,42.8,22.6,0.689,5.07,316.0,61,,
VG-SES-000116,VG-ACC-01048,VG-ST-005,CCS2,Uppal,2025-11-06 06:45,App,Failed,33.0,20.3,0.606,,,,,E-COMM-TIMEOUT
VG-SES-000117,VG-ACC-02146,VG-ST-004,GB/T,Secunderabad,2025-06-17 11:00,App,Completed,50.6,43.0,0.6,18.64,37.0,485,2.0,
VG-SES-000118,VG-ACC-01205,VG-ST-006,CHAdeMO,Madhapur,2025-05-13 20:00,Walk-Up,Completed,40.7,34.1,0.771,23.34,48.0,607,4.0,
VG-SES-000119,VG-ACC-00853,VG-ST-017,Bharat AC-001,Gachibowli,2025-09-27 01:30,App,Completed,35.4,25.9,0.518,26.06,421.0,313,5.0,
VG-SES-000120,VG-ACC-00843,VG-ST-006,CHAdeMO,Madhapur,2025-04-04 19:15,RFID,Completed,23.5,30.3,0.801,7.21,26.0,187,1.0,
VG-SES-000121,VG-ACC-02001,VG-ST-007,Type2 AC,Gachibowli,2025-04-08 16:00,app,Completed,24.8,33.6,0.631,31.78,132.0,381,3.0,
VG-SES-000122,VG-ACC-01663,VG-ST-017,Bharat AC-001,Gachibowli,2025-01-18 22:45,Walk-Up,Completed,41.2,17.8,0.687,36.56,642.0,439,2.0,
VG-SES-000123,VG-ACC-00318,VG-ST-011,Type2 AC,Madhapur,2025-06-21 16:30,RFID,Completed,37.4,39.2,0.519,26.3,160.0,579,3.0,
VG-SES-000124,VG-ACC-01876,VG-ST-002,CHAdeMO,Gachibowli,2025-09-05 11:45,Walk-Up,Completed,21.5,33.7,0.587,0.42,28.0,11,3.0,
VG-SES-000125,VG-ACC-01039,VG-ST-013,Bharat AC-001,Kukatpally,2025-11-22 22:00,RFID,Completed,61.8,21.1,0.629,17.63,426.0,212,1.0,
VG-SES-000126,VG-ACC-00873,VG-ST-014,Type2 AC,Secunderabad,2025-06-24 19:00,walk-up,Completed,39.0,36.2,0.789,1.11,201.0,Rs.13,1.0,
VG-SES-000127,VG-ACC-00244,VG-ST-018,Type2 AC,Kukatpally,2025-01-25 01:45,RFID,Completed,62.0,15.5,0.434,24.85,556.0,298,,
VG-SES-000128,VG-ACC-02496,VG-ST-004,GB/T,Secunderabad,2025-03-05 13:30, App,Completed,54.9,27.0,0.522,1.03,67.0,27,1.0,
VG-SES-000129,VG-ACC-00132,VG-ST-010,Bharat DC-001,Uppal,2025-04-03 09:00,RFID,Completed,37.3,28.5,0.656,1.87,95.0,22,2.0,
VG-SES-000130,VG-ACC-02492,VG-ST-004,GB/T,Secunderabad,2025-10-22 22:00,App,Interrupted,59.6,25.9,0.704,5.38,68.0,140,,
VG-SES-000131,VG-ACC-00162,VG-ST-008,CCS2,Kukatpally,2025-07-11 08:15,walk-up,Completed,31.1,35.0,0.617,19.15,147.0,421,4.0,
VG-SES-000132,VG-ACC-01264,VG-ST-010,Bharat DC-001,Uppal,2025-11-05 09:45,RFID,Completed,19.8,26.3,0.632,1.09,146.0,13,1.0,
VG-SES-000133,VG-ACC-00262,VG-ST-001,CCS2,Madhapur,2025-10-06 11:15,RFID,Completed,38.1,30.8,0.595,8.4,39.0,218,,
VG-SES-000134,VG-ACC-01233,VG-ST-004,GB/T,Secunderabad,2025-10-18 06:00,App,Completed,41.6,23.1,0.499,,54.0,,1.0,
VG-SES-000135,VG-ACC-02090,VG-ST-015,Bharat AC-001,Uppal,2025-04-03 21:15,App,Completed,19.7,21.4,0.775,88.25,529.0,1059,4.0,
VG-SES-000136,VG-ACC-01476,VG-ST-008,CCS2,Kukatpally,2025-07-05 15:45,rfid,Completed,11.8,42.9,0.467,28.63,108.0,630,5.0,
VG-SES-000137,VG-ACC-01360,VG-ST-008,CCS2,Kukatpally,2025-01-20 08:45,App,Completed,51.5,17.5,0.637,37.15,318.0,817,,
VG-SES-000138,VG-ACC-00298,VG-ST-015,Bharat AC-001,Uppal,2025-05-04 19:45,APP,Completed,40.3,33.1,0.788,1.94,184.0,Rs.23,1.0,
VG-SES-000139,VG-ACC-02369,VG-ST-002,CHAdeMO,Gachibowli,2025-04-14 19:15,rfid,Completed,42.7,32.2,0.771,43.04,42.0,1119,2.0,
VG-SES-000140,VG-ACC-00939,VG-ST-004,GB/T,Secunderabad,2025-02-23 19:15,Walk-Up,Interrupted,24.9,25.2,0.667,6.18,37.0,161,,
VG-SES-000141,VG-ACC-01346,VG-ST-006,CHAdeMO,Madhapur,2025-01-21 13:15,app,Completed,73.2,21.5,0.583,0.78,64.0,20,4.0,
VG-SES-000142,VG-ACC-02245,VG-ST-005,CCS2,Uppal,2025-05-05 18:30,RFID,Completed,42.1,33.1,0.858,1.31,25.0,34,5.0,
VG-SES-000143,VG-ACC-01572,VG-ST-009,Type2 AC,Secunderabad,2025-01-24 16:00,RFID,Completed,33.9,24.0,0.636,1.48,290.0,18,2.0,
VG-SES-000144,VG-ACC-01838,VG-ST-010,Bharat DC-001,Uppal,2025-07-22 11:30,Walk-Up,Completed,19.6,41.6,0.582,117.35,249.0,1408,2.0,
VG-SES-000145,VG-ACC-00462,VG-ST-008,CCS2,Kukatpally,2025-04-02 17:30,RFID,Failed,72.1,31.0,0.696,,,,,E-THERMAL
VG-SES-000146,VG-ACC-01151,VG-ST-017,Bharat AC-001,Gachibowli,2025-03-16 06:00,walk-up,Interrupted,44.3,19.6,0.435,4.72,220.0,57,,
VG-SES-000147,VG-ACC-01352,VG-ST-005,CCS2,Uppal,2025-02-06 13:15,RFID,Completed,17.2,26.4,0.587,0.41,33.0,11,3.0,
VG-SES-000148,VG-ACC-00440,VG-ST-018,Type2 AC,Kukatpally,2025-06-03 20:15,Walk-Up,Completed,38.1,33.5,0.776,1.1,197.0,13,,
VG-SES-000149,VG-ACC-00964,VG-ST-011,Type2 AC,Madhapur,2025-02-25 09:45,App,Completed,48.5,26.9,0.59,15.49,129.0,341,,
VG-SES-000150,VG-ACC-02079,VG-ST-011,Type2 AC,Madhapur,2025-07-09 13:30,Walk-Up,Interrupted,28.6,39.0,0.499,0.72,276.0,16,,
VG-SES-000151,VG-ACC-02329,VG-ST-016,Type2 AC,Madhapur,2025-11-22 20:15,App,Interrupted,28.3,24.3,0.786,7.19,397.0,86,,
VG-SES-000152,VG-ACC-02059,VG-ST-012,CCS2,Gachibowli,2025-08-30 08:00,rfid,Completed,56.0,33.9,0.594,137.06,196.0,3015,2.0,
VG-SES-000153,VG-ACC-02335,VG-ST-017,Bharat AC-001,Gachibowli,2025-02-08 06:15,APP,Interrupted,65.7,14.6,0.489,0.42,320.0,5,,
VG-SES-000154,VG-ACC-02497,VG-ST-018,Type2 AC,Kukatpally,2025-01-31 21:00,Walk-Up,Interrupted,44.2,16.2,0.792,,280.0,,,
VG-SES-000155,VG-ACC-00497,VG-ST-001,CCS2,Madhapur,2025-10-16 11:30,App,Interrupted,38.7,27.1,0.579,0.25,51.0,6,,
VG-SES-000156,VG-ACC-02139,VG-ST-014,Type2 AC,Secunderabad,2025-10-14 23:00,App,Completed,54.0,26.8,0.625,1.79,255.0,21,3.0,
VG-SES-000157,VG-ACC-01551,VG-ST-002,CHAdeMO,Gachibowli,2025-04-30 20:30,App,Completed,22.2,31.3,0.84,2.74,54.0,71,1.0,
VG-SES-000158,VG-ACC-02148,VG-ST-010,Bharat DC-001,Uppal,2025-05-31 17:45,Walk-Up,Completed,54.4,38.6,0.689,0.94,334.0,11,3.0,
VG-SES-000159,VG-ACC-01596,VG-ST-012,CCS2,Gachibowli,2025-05-05 13:15,walk-up,Completed,46.8,38.4,0.471,1.31,178.0,29,2.0,
VG-SES-000160,VG-ACC-00313,VG-ST-007,Type2 AC,Gachibowli,2025-07-12 10:15,APP,Interrupted,43.0,34.2,0.631,7.18,101.0,86,,
VG-SES-000161,VG-ACC-01407,VG-ST-013,Bharat AC-001,Kukatpally,2025-03-10 19:15,APP,Interrupted,47.7,27.6,0.816,0.09,419.0,1,,
