session_id,is_anomaly_TRUTH
VG-SES-018984,1
VG-SES-019060,1
VG-SES-019072,1
VG-SES-019288,1
VG-SES-019364,1
VG-SES-019991,1
VG-SES-020095,1
VG-SES-020118,1
VG-SES-020258,1
VG-SES-020309,1
VG-SES-020316,1
VG-SES-020447,1
VG-SES-020509,1
VG-SES-020662,1
VG-SES-020720,1
VG-SES-020842,1
VG-SES-020894,1
VG-SES-020911,1
VG-SES-020984,1
VG-SES-021009,1
VG-SES-021018,1
VG-SES-021081,1
VG-SES-021208,1
VG-SES-021477,1
VG-SES-021511,1
VG-SES-021514,1
VG-SES-021942,1
VG-SES-022085,1
VG-SES-022332,1
VG-SES-022370,1
VG-SES-022749,1
VG-SES-022757,1
VG-SES-022808,1
VG-SES-022948,1
VG-SES-023034,1
VG-SES-023200,1
VG-SES-023284,1
VG-SES-023540,1
VG-SES-023784,1
VG-SES-023822,1
VG-SES-023827,1
VG-SES-023886,1
VG-SES-024029,1
VG-SES-024067,1
VG-SES-024097,1
VG-SES-024136,1
VG-SES-024253,1
VG-SES-024457,1
VG-SES-024750,1
VG-SES-024792,1
VG-SES-024855,1
VG-SES-024982,1
VG-SES-025173,1
VG-SES-025219,1
VG-SES-025564,1
VG-SES-025672,1
VG-SES-025819,1
VG-SES-026043,1
VG-SES-026057,1
VG-SES-026234,1
VG-SES-026582,1
VG-SES-026663,1
VG-SES-026679,1
VG-SES-026992,1
VG-SES-027050,1
VG-SES-027100,1
VG-SES-027175,1
VG-SES-027397,1
VG-SES-027429,1
VG-SES-027599,1
VG-SES-027675,1
VG-SES-027684,1
VG-SES-027764,1
VG-SES-027984,1
VG-SES-028182,1
VG-SES-028700,1
VG-SES-028702,1
VG-SES-028866,1
VG-SES-028936,1
VG-SES-028961,1
VG-SES-028999,1
VG-SES-029045,1
VG-SES-029054,1
VG-SES-029079,1
VG-SES-029088,1
VG-SES-029097,1
VG-SES-029206,1
VG-SES-029318,1
VG-SES-029322,1
VG-SES-029456,1
VG-SES-029703,1
VG-SES-029857,1
VG-SES-029932,1
VG-SES-029950,1
VG-SES-029976,1
VG-SES-030038,1
VG-SES-030081,1
VG-SES-030097,1
VG-SES-030216,1
VG-SES-030318,1
VG-SES-030359,1
VG-SES-030475,1
VG-SES-030608,1
VG-SES-031005,1
VG-SES-031050,1
VG-SES-031117,1
VG-SES-031354,1
VG-SES-031523,1
VG-SES-031592,1
VG-SES-031665,1
VG-SES-031837,1
VG-SES-031923,1
VG-SES-032404,1
VG-SES-032519,1
VG-SES-032534,1
VG-SES-032557,1
VG-SES-032574,1
VG-SES-032933,1
VG-SES-032938,1
VG-SES-033155,1
VG-SES-033529,1
VG-SES-034032,1
VG-SES-034065,1
VG-SES-034075,1
VG-SES-034142,1
VG-SES-034153,1
VG-SES-034192,1
VG-SES-034279,1
VG-SES-034349,1
VG-SES-034360,1
VG-SES-034497,1
VG-SES-034504,1
VG-SES-034590,1
VG-SES-034598,1
VG-SES-034796,1
VG-SES-034856,1
VG-SES-034924,1
VG-SES-034940,1
VG-SES-034941,1
VG-SES-034957,1
VG-SES-034980,1
VG-SES-035422,1
VG-SES-035692,1
VG-SES-035748,1
VG-SES-035786,1
VG-SES-035846,1
VG-SES-035991,1
VG-SES-036007,1
VG-SES-036138,1
VG-SES-036163,1
VG-SES-036244,1
VG-SES-036392,1
VG-SES-036485,1
VG-SES-036500,1
VG-SES-036512,1
VG-SES-036572,1
VG-SES-036623,1
VG-SES-036716,1
VG-SES-036737,1
VG-SES-036857,1
VG-SES-036909,1
VG-SES-037008,1
VG-SES-037134,1
VG-SES-037175,1
VG-SES-037298,1
VG-SES-037345,1
VG-SES-037389,1
VG-SES-037417,1
VG-SES-037445,1
VG-SES-037554,1
VG-SES-037674,1
VG-SES-037967,1
VG-SES-038327,1
VG-SES-038716,1
VG-SES-038721,1
VG-SES-038736,1
VG-SES-038784,1
VG-SES-038901,1
VG-SES-038978,1
VG-SES-038997,1
VG-SES-039049,1
VG-SES-039068,1
VG-SES-039210,1
VG-SES-039234,1
VG-SES-039373,1
VG-SES-039450,1
VG-SES-039485,1
VG-SES-039623,1
VG-SES-039681,1
VG-SES-039690,1
VG-SES-039717,1
VG-SES-039729,1
VG-SES-039772,1
VG-SES-039916,1
VG-SES-040019,1
VG-SES-040045,1
VG-SES-040083,1
VG-SES-040146,1
VG-SES-040248,1
VG-SES-040305,1
VG-SES-040386,1
VG-SES-040392,1
VG-SES-040464,1
VG-SES-040521,1
VG-SES-040541,1
VG-SES-040551,1
VG-SES-040586,1
VG-SES-040598,1
VG-SES-040601,1
VG-SES-040646,1
VG-SES-040701,1
VG-SES-040785,1
VG-SES-040802,1
VG-SES-040882,1
VG-SES-041057,1
VG-SES-041158,1
VG-SES-041170,1
VG-SES-041220,1
VG-SES-041246,1
VG-SES-041264,1
VG-SES-041415,1
VG-SES-041545,1
VG-SES-041556,1
VG-SES-041738,1
VG-SES-041782,1
VG-SES-041789,1
VG-SES-041845,1
VG-SES-041869,1
VG-SES-041880,1
VG-SES-042059,1
VG-SES-042166,1
VG-SES-042208,1
VG-SES-042281,1
VG-SES-042462,1
VG-SES-042489,1
VG-SES-042516,1
VG-SES-042536,1
VG-SES-042664,1
VG-SES-042762,1
VG-SES-042777,1
VG-SES-042856,1
VG-SES-042884,1
VG-SES-042947,1
VG-SES-042981,1
VG-SES-043075,1
VG-SES-043150,1
VG-SES-043157,1
VG-SES-043202,1
VG-SES-043257,1
VG-SES-043423,1
VG-SES-043703,1
VG-SES-043912,1
VG-SES-043929,1
VG-SES-043954,1
VG-SES-043998,1
VG-SES-044035,1
VG-SES-044054,1
VG-SES-044226,1
VG-SES-044234,1
VG-SES-044302,1
VG-SES-044388,1
VG-SES-044486,1
VG-SES-044528,1
VG-SES-044549,1
VG-SES-044664,1
VG-SES-044796,1
VG-SES-044801,1
VG-SES-044829,1
VG-SES-044942,1
VG-SES-044951,1
